timestamp_sec,timestamp_nanosec,orient_x,orient_y,orient_z,orient_w,ang_vel_x,ang_vel_y,ang_vel_z,lin_accel_x,lin_accel_y,lin_accel_z,mag_x,mag_y,mag_z,temperature_celsius,wifi_ssid,wifi_signal_strength
1762542603,890179025,0.020263800734347984,-0.013671961941246832,6.10355443805662e-05,0.999701181409294,0.0,0.0,0.0,0.04,0.0,-0.11,-4.5625e-06,-3.75e-06,-5.5875e-05,,TP-Link_C53A,-26
1762542603,990198747,0.020263800734347984,-0.013671961941246832,6.10355443805662e-05,0.999701181409294,0.0,0.0011111111111111111,0.0,0.01,0.0,-0.12,-4.5625e-06,-3.75e-06,-5.5875e-05,,TP-Link_C53A,-26
1762542604,83595284,0.020263800734347984,-0.013671961941246832,6.10355443805662e-05,0.999701181409294,0.0,0.0,0.0,0.0,0.0,-0.1,-4.5625e-06,-3.375e-06,-5.675e-05,,TP-Link_C53A,-26
1762542604,182839210,0.020263800734347984,-0.013671961941246832,6.10355443805662e-05,0.999701181409294,0.0,-0.0011111111111111111,0.0,0.0,-0.01,-0.11,-4.875e-06,-3.375e-06,-5.55625e-05,,TP-Link_C53A,-26
1762542604,279579210,0.020263800734347984,-0.013671961941246832,6.10355443805662e-05,0.999701181409294,-0.0011111111111111111,0.0,0.0,0.0,0.0,-0.12,-4.5625e-06,-3.75e-06,-5.675e-05,,TP-Link_C53A,-26
1762542604,389232803,0.020263800734347984,-0.013671961941246832,6.10355443805662e-05,0.999701181409294,-0.0011111111111111111,0.0011111111111111111,0.0,0.05,0.0,-0.08,-4.1875e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542604,488889840,0.020263800734347984,-0.013671961941246832,6.10355443805662e-05,0.999701181409294,0.0011111111111111111,0.0077777777777777776,0.0011111111111111111,-0.01,-0.04,-0.13,-4.875e-06,-3.375e-06,-5.76875e-05,,TP-Link_C53A,-26
1762542604,579300266,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0033333333333333335,0.0022222222222222222,-0.0022222222222222222,-0.12,0.15,0.03,-4.5625e-06,-3.75e-06,-5.675e-05,,TP-Link_C53A,-26
1762542604,690193858,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0011111111111111111,-0.0033333333333333335,0.0,-0.08,0.03,-0.17,-4.5625e-06,-3.75e-06,-5.5875e-05,,TP-Link_C53A,-25
1762542604,788157247,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,-0.05,0.09,-0.07,-4.875e-06,-4.0625e-06,-5.675e-05,,TP-Link_C53A,-25
